alertId,description,category
1,New Sales Requisition Created,SOREQ
2,SO Requisition on hold,SOREQ
3,Created or Updated Sales Order,SO
4,New Sales Order GTS Hold,SO
5,New Sales Order Preq Block,SO
6,Sales Order Change Request Was Received,SO
7,Sales Order Cancellation Request Received,SO
8,Order / Change Order Acknowledgement,SO
9,Order Cancellation Confirmation,SO
10,New Purchase Order(s),PO
11,Purchase Order Change,PO
12,Purchase Order Cancellation,PO
13,Change Request For Purchase Order Received,PO
14,Change Acknowledgement / Acknowledgement For Purchase Order Received,PO
15,Purchase Order(s) Declined From Vendor,PO
16,Acknowledgement Reminder for Purchase Order(s),PO
17,Advance Shipment Notice (ASN) Reminder,PO
18,ASN Inbound Summary Report,IBSHP
19,Advance Shipping Notification For Purchase Order(s) Received,IBSHP
20,Advance Shipping Notification Update For Purchase Order(s) Received,IBSHP
21,GR_GI Loading Failure Report_IB,IBSHP
22,GR_GI Loading Failure Report_OB,OBSHP
23,ASN Outbound Summary Report,OBSHP
24,Advance Shipping Notification (ASN) Reminder,OBSHP
25,IB/OB Change Loading Failure Report,IBOBSHP
26,GR/GI Loading Failure Report Inbound Shipment,IBSHP
27,New Invoice For Customs Purpose (ICP) Released,INV
28,Packing List Released,INV
29,New Non EDI Invoice,INV
30,New EDI Invoice,INV
31,New RMA Request Submitted by Customer,RMA
32,New RMA Requested by HP,RMA
33,RMA Changed,RMA
34,RMA Number And Shipping Instruction Entered,RMA
35,RMA Request Rejected,RMA
36,RMA ASN Details Entered,RMA
37,RMA Ticket Cancellation Request From Customer,RMA
38,Supplier Credit Note Details Entered by Supplier,RMA
39,RMA Cancellation Notice,RMA
40,Reminders to Provide RMA Number,RMA
41,RMAs not closed for more than 8 hours,RMA
42,RMA Shipment Details Reminder,RMA
43,Reminders to Provide Credit Details For HP RMA Requests,RMA
44,RMA Update Submitted by Customer,RMA
45,RMA Number And Shipping Instruction Updated,RMA
46,RMA ASN Details Updated,RMA
47,Supplier Credit Note Details Updated by Supplier,RMA
48,Reserved for Future Alert,RMA
